"Subject","Shape","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Group","RT_ms","RT_sec","ACC"
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",511,0.511,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",459,0.459,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",669,0.669,1
2,"Self","Matching","Self","Self","Self","Self","2",448,0.448,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",583,0.583,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",713,0.713,1
2,"Self","Matching","Self","Self","Self","Self","2",472,0.472,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",484,0.484,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",450,0.45,0
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",435,0.435,1
2,"Self","Matching","Self","Self","Self","Self","2",592,0.592,0
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",642,0.642,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",601,0.601,1
2,"Self","Matching","Self","Self","Self","Self","2",599,0.599,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",530,0.53,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",587,0.587,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",605,0.605,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",819,0.819,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",396,0.396,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",436,0.436,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",422,0.422,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",436,0.436,0
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",339,0.339,1
2,"Self","Matching","Self","Self","Self","Self","2",484,0.484,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",499,0.499,1
2,"Self","Matching","Self","Self","Self","Self","2",547,0.547,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",683,0.683,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",582,0.582,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",454,0.454,0
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",683,0.683,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",625,0.625,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",571,0.571,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",569,0.569,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",734,0.734,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",515,0.515,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",631,0.631,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",699,0.699,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",599,0.599,0
