Shape,Label,ShapeLoc,Condition,FaceIdentity,Stimulus,Strength,textColour,resp,rt,Exclude,corr,nCorr,trialinBlock,BlankFrames,Block,6. Stimuli Type (Self = Negative/Self = Positive),4. Handedness,3. Age,5. First Language,2. Gender,Subject
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,l,1.200244615,0,1,13,14,48,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,1.285134726,0,1,14,15,68,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,1,StrangerStrong,Strong,white,l,1.483478796,0,1,15,16,74,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.766862209,0,1,16,17,70,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,0.783551004,0,1,17,18,52,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,1.166854787,0,1,18,19,53,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,1.266860038,0,1,19,20,51,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,k,1.35021163,0,0,19,21,53,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,1.116857096,0,1,20,22,77,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,1.25028218,0,1,21,23,54,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,0.850213407,0,1,22,24,52,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,1.016866058,0,1,23,25,75,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,0.883515591,0,1,24,26,62,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,1.38350276,0,1,25,27,77,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,l,1.516836646,0,1,26,28,49,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,1,StrangerStrong,Strong,white,l,1.350167808,0,1,27,29,56,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,1.133589714,0,1,28,30,69,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,0.900179908,0,1,29,31,51,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,1.283550806,0,1,30,32,51,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,l,1.166922297,0,1,31,33,48,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,1.15020863,0,1,32,34,63,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,k,1.383555662,0,1,33,35,53,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,l,1.066883093,0,1,34,36,70,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,k,1.100199885,0,1,35,37,56,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,1.535141339,0,1,36,38,60,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,k,0.916864755,0,1,37,39,56,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,k,0.783539555,0,0,37,40,69,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,0.750259085,0,1,38,41,52,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,2,StrangerWeak,Weak,white,k,1.600132178,0,0,38,42,56,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,0.800265855,0,1,39,43,71,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,1.0002124,0,1,40,44,57,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,1.333689439,0,1,41,45,55,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,1.033534324,0,1,42,46,73,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,l,1.516820065,0,1,43,47,50,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,1,StrangerStrong,Strong,white,k,1.616877823,0,0,43,48,51,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,k,1.083495298,0,0,43,49,70,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,0.966869157,0,1,44,50,67,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,2,SelfWeak,Weak,white,l,1.033514979,0,1,45,51,69,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,2,SelfWeak,Weak,white,l,0.816917145,0,1,46,52,60,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,2,StrangerWeak,Weak,white,l,1.250188219,0,1,47,53,72,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,2,StrangerWeak,Weak,white,l,1.350187942,0,1,48,54,57,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,2,StrangerWeak,Weak,white,l,0.633552011,0,1,49,55,66,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,l,0.550305828,0,0,49,56,57,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,1.066919809,0,1,50,57,57,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,1.133528125,0,1,51,58,57,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,l,1.483484323,0,1,52,59,58,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,2,SelfWeak,Weak,white,l,0.900197279,0,1,53,60,48,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,2,StrangerWeak,Weak,white,k,1.200222112,0,0,53,61,71,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,l,0.850212222,0,0,53,62,75,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,0.966898372,0,1,54,63,49,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,l,1.116879205,0,1,55,64,52,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.762141244,0,1,56,65,73,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.733537522,0,1,57,66,56,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,k,1.100191989,0,1,58,67,64,1,Self = Positive,Right,24,Ukrainian,Male,1
